0, 100, 0
0, 100, 0
0, 0, 100
100, 0, 0
0, 99, 1
0, 1, 99
1, 99, 0
1, 0, 99
99, 1, 0
99, 0, 1
0, 98, 2
0, 2, 98
2, 98, 0
2, 0, 98
98, 2, 0
98, 0, 2
0, 97, 3
0, 3, 97
3, 97, 0
3, 0, 97
97, 3, 0
97, 0, 3
0, 96, 4
0, 4, 96
4, 96, 0
4, 0, 96
96, 4, 0
96, 0, 4
0, 95, 5
0, 5, 95
5, 95, 0
5, 0, 95
95, 5, 0
95, 0, 5
0, 94, 6
0, 6, 94
6, 94, 0
6, 0, 94
94, 6, 0
94, 0, 6
0, 93, 7
0, 7, 93
7, 93, 0
7, 0, 93
93, 7, 0
93, 0, 7
0, 92, 8
0, 8, 92
8, 92, 0
8, 0, 92
92, 8, 0
92, 0, 8
0, 91, 9
0, 9, 91
9, 91, 0
9, 0, 91
91, 9, 0
91, 0, 9
0, 90, 10
0, 10, 90
10, 90, 0
10, 0, 90
90, 10, 0
90, 0, 10
0, 89, 11
0, 11, 89
11, 89, 0
11, 0, 89
89, 11, 0
89, 0, 11
0, 88, 12
0, 12, 88
12, 88, 0
12, 0, 88
88, 12, 0
88, 0, 12
0, 87, 13
0, 13, 87
13, 87, 0
13, 0, 87
87, 13, 0
87, 0, 13
0, 86, 14
0, 14, 86
14, 86, 0
14, 0, 86
86, 14, 0
86, 0, 14
0, 85, 15
0, 15, 85
15, 85, 0
15, 0, 85
85, 15, 0
85, 0, 15
0, 84, 16
0, 16, 84
16, 84, 0
16, 0, 84
84, 16, 0
84, 0, 16
0, 83, 17
0, 17, 83
17, 83, 0
17, 0, 83
83, 17, 0
83, 0, 17
0, 82, 18
0, 18, 82
18, 82, 0
18, 0, 82
82, 18, 0
82, 0, 18
0, 81, 19
0, 19, 81
19, 81, 0
19, 0, 81
81, 19, 0
81, 0, 19
0, 80, 20
0, 20, 80
20, 80, 0
20, 0, 80
80, 20, 0
80, 0, 20
0, 79, 21
0, 21, 79
21, 79, 0
21, 0, 79
79, 21, 0
79, 0, 21
0, 78, 22
0, 22, 78
22, 78, 0
22, 0, 78
78, 22, 0
78, 0, 22
0, 77, 23
0, 23, 77
23, 77, 0
