0,100
0,100
100,0
1,99
99,1
2,98
98,2
3,97
97,3
4,96
96,4
5,95
95,5
6,94
94,6
7,93
93,7
8,92
92,8
9,91
91,9
10,90
90,10
11,89
89,11
12,88
88,12
13,87
87,13
14,86
86,14
15,85
85,15
16,84
84,16
17,83
83,17
18,82
82,18
19,81
81,19
20,80
80,20
21,79
79,21
22,78
78,22
23,77
77,23
24,76
76,24
25,75
75,25
26,74
74,26
27,73
73,27
28,72
72,28
29,71
71,29
30,70
70,30
31,69
69,31
32,68
68,32
33,67
67,33
34,66
66,34
35,65
65,35
36,64
64,36
37,63
63,37
38,62
62,38
39,61
61,39
40,60
60,40
41,59
59,41
42,58
58,42
43,57
57,43
44,56
56,44
45,55
55,45
46,54
54,46
47,53
53,47
48,52
52,48
49,51
51,49
50,50
